Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
1;01. NORTE;56;ALTOS DEL PROGRESO;C;SI;377
1;01. NORTE;56;ALTOS DEL PROGRESO;D;SI;30
1;01. NORTE;88;CAFE MADRID LA 40;A;NO;3
1;01. NORTE;88;CAFE MADRID LA 40;B;NO;44
1;01. NORTE;88;CAFE MADRID LA 40;C;NO;48
1;01. NORTE;88;CAFE MADRID LA 40;D;NO;2
1;01. NORTE;91;TEJADITOS;A;NO;19
1;01. NORTE;91;TEJADITOS;B;NO;3
1;01. NORTE;91;TEJADITOS;C;NO;3
1;01. NORTE;230;VILLA ALICIA;A;NO;27
1;01. NORTE;230;VILLA ALICIA;B;NO;80
1;01. NORTE;230;VILLA ALICIA;C;NO;59
1;01. NORTE;230;VILLA ALICIA;D;NO;2
1;01. NORTE;235;DELICIAS NORTE;A;NO;18
1;01. NORTE;235;DELICIAS NORTE;B;NO;53
1;01. NORTE;235;DELICIAS NORTE;C;NO;38
1;01. NORTE;235;DELICIAS NORTE;D;NO;5
1;01. NORTE;247;LA FORTUNA;A;NO;111
1;01. NORTE;247;LA FORTUNA;B;NO;286
1;01. NORTE;247;LA FORTUNA;C;NO;95
1;01. NORTE;247;LA FORTUNA;D;NO;9
1;01. NORTE;281;SAN IGNACIO REAL;A;NO;51
1;01. NORTE;281;SAN IGNACIO REAL;B;NO;244
1;01. NORTE;281;SAN IGNACIO REAL;C;NO;126
1;01. NORTE;281;SAN IGNACIO REAL;D;NO;2
1;01. NORTE;291;CAMINOS DE PAZ;A;NO;40
1;01. NORTE;291;CAMINOS DE PAZ;B;NO;74
1;01. NORTE;291;CAMINOS DE PAZ;C;NO;32
1;01. NORTE;291;CAMINOS DE PAZ;D;NO;3
1;01. NORTE;297;TEJAR II;A;SI;61
1;01. NORTE;297;TEJAR II;B;SI;297
1;01. NORTE;297;TEJAR II;C;SI;402
1;01. NORTE;297;TEJAR II;D;SI;93
1;01. NORTE;298;TEJAR I;A;SI;68
1;01. NORTE;298;TEJAR I;B;SI;229
1;01. NORTE;298;TEJAR I;C;SI;262
1;01. NORTE;298;TEJAR I;D;SI;43
1;01. NORTE;299;OMAGA II;A;SI;104
1;01. NORTE;299;OMAGA II;B;SI;264
1;01. NORTE;299;OMAGA II;C;SI;208
1;01. NORTE;299;OMAGA II;D;SI;24
1;01. NORTE;301;CERVUNION;A;NO;114
1;01. NORTE;301;CERVUNION;B;NO;165
1;01. NORTE;301;CERVUNION;C;NO;103
1;01. NORTE;301;CERVUNION;D;NO;11
1;01. NORTE;302;ASENTAMIENTO LUZ DE ESPERANZA;A;NO;2
1;01. NORTE;302;ASENTAMIENTO LUZ DE ESPERANZA;B;NO;19
1;01. NORTE;302;ASENTAMIENTO LUZ DE ESPERANZA;C;NO;7
1;01. NORTE;305;SAN VALENTIN;A;NO;137
1;01. NORTE;305;SAN VALENTIN;B;NO;258
1;01. NORTE;305;SAN VALENTIN;C;NO;174
1;01. NORTE;305;SAN VALENTIN;D;NO;29
1;01. NORTE;311;ALTOS DE BETANIA;A;SI;224
1;01. NORTE;311;ALTOS DE BETANIA;B;SI;558
1;01. NORTE;311;ALTOS DE BETANIA;C;SI;404
1;01. NORTE;311;ALTOS DE BETANIA;D;SI;46
