Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;Nivel;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;2;41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;3;28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;4;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;5;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;6;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;7;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;8;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;9;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;10;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;11;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;12;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;13;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;14;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;15;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;17;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;18;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;1;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;4;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;5;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;8;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;11;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;15;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;21;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;A;3;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;A;4;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;A;5;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;1;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;2;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;3;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;4;39
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;5;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;6;24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;7;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;1;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;2;44
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;3;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;6;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;7;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;8;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;9;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;10;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;11;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;12;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;13;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;14;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;15;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;16;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;17;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;18;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;5;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;8;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;9;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;11;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;14;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;15;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;A;2;38
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;A;3;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;A;4;38
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;A;5;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;1;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;2;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;3;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;4;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;5;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;6;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;7;24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;1;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;2;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;3;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;4;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;5;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;6;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;8;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;10;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;12;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;15;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;16;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;17;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;18;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;5;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;18;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;21;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;A;3;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;A;4;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;A;5;28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;2;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;3;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;4;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;5;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;6;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;7;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;1;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;2;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;3;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;9;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;12;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;14;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;17;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;D;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;D;8;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;D;19;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;2;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;3;43
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;4;57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;5;49
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;1;34
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;2;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;3;40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;4;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;5;43
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;6;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;7;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;1;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;2;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;3;38
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;4;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;5;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;6;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;7;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;8;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;9;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;10;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;11;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;12;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;13;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;14;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;15;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;16;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;17;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;3;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;4;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;6;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;12;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;13;1
