Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_empleado;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;3;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;5;115
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;10;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;99;515
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;1;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;3;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;4;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;5;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;99;113
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;5;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;99;42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;1;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;3;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;5;77
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;99;300
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;1;319
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;2;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;3;40
