COMUNA,BARRIO,CAPITULO,Count of capitulo
01. NORTE,COLSEGUROS NORTE,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,64
01. NORTE,COLSEGUROS NORTE,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,46
01. NORTE,COLSEGUROS NORTE,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,5
01. NORTE,COLSEGUROS NORTE,"Cap. 2 - RECURSO HÍDRICO, FAUNA, FLORA Y AIRE",31
01. NORTE,COLSEGUROS NORTE,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,4
01. NORTE,COLSEGUROS NORTE,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,1
01. NORTE,EL PABLÓN,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,123
01. NORTE,EL PABLÓN,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,25
01. NORTE,EL PABLÓN,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,10
01. NORTE,EL PABLÓN,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,3
01. NORTE,EL PABLÓN,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,6
01. NORTE,EL PABLÓN,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,EL ROSAL,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,28
01. NORTE,EL ROSAL,Cap. 2 - DE LA SEGURIDAD EN LOS SERVICIOS PÚBLICOS,1
01. NORTE,EL ROSAL,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,29
01. NORTE,EL ROSAL,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,2
01. NORTE,KENNEDY,Cap. 1 - DE LA SALUD PÚBLICA,3
01. NORTE,KENNEDY,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",6
01. NORTE,KENNEDY,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,19
01. NORTE,KENNEDY,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,714
01. NORTE,KENNEDY,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,580
01. NORTE,KENNEDY,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,337
01. NORTE,KENNEDY,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,4
01. NORTE,KENNEDY,"Cap. 2 - RECURSO HÍDRICO, FAUNA, FLORA Y AIRE",1
01. NORTE,KENNEDY,Cap. 3 - ARTÍCULOS PIROTÉCNICOS Y SUSTANCIAS PELIGROSAS,1
01. NORTE,KENNEDY,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,34
01. NORTE,KENNEDY,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,7
01. NORTE,KENNEDY,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),11
01. NORTE,LAS HAMACAS,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,1
01. NORTE,LAS HAMACAS,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,68
01. NORTE,LAS HAMACAS,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,43
01. NORTE,LAS HAMACAS,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,12
01. NORTE,LAS HAMACAS,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,1
01. NORTE,MARIA PAZ,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",1
01. NORTE,MARIA PAZ,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,105
01. NORTE,MARIA PAZ,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,97
01. NORTE,MARIA PAZ,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,34
01. NORTE,MARIA PAZ,"Cap. 2 - RECURSO HÍDRICO, FAUNA, FLORA Y AIRE",2
01. NORTE,MARIA PAZ,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,6
01. NORTE,MARIA PAZ,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,6
