Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;tip_actividad_mes;personas
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;4;66
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;6;8
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;7;10
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;9;58
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;0;44
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;1;346
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;2;80
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;3;161
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;4;143
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;6;15
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;7;24
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;9;104
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;0;6
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;1;45
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;2;33
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;3;26
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;4;29
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;6;4
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;7;4
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;9;26
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;0;75
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;1;281
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;2;109
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;3;178
