Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;ind_esta_embarazada;ind_tuvo_hijos;personas
1;0;SIN CORREGIMIENTO;19;CAFE MADRID LA LOMA;1-CAFE MADRID LA LOMA;0;0;9;9;111
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;1;1;6
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;1;2;4
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;2;1;523
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;2;2;272
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;9;1;89
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;9;2;3
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;9;9;1090
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;1;1;4
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;1;2;1
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;2;1;181
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;2;2;95
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;9;1;36
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;9;2;3
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;9;9;387
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;1;1;2
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;1;2;1
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;2;1;38
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;2;2;24
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;9;1;3
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;9;9;90
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;2;1;16
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;2;2;10
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;9;1;2
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;9;9;29
1;0;SIN CORREGIMIENTO;28;CAFE MADRID EL CABLE;1-CAFE MADRID EL CABLE;0;0;1;2;1
