Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;H_5_Pobre o no;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;0;343
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;1;80
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;0;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;1;67
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;292;LAS TUNAS;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;0;741
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;1;112
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;0;523
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;1;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;0;486
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;1;114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;0;225
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;1;168
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;0;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;1;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;0;438
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;1;160
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;0;898
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;1;341
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;0;1827
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;1;780
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;0;315
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;1;187
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;0;517
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;1;526
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;0;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;1;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;0;598
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;1;159
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;0;123
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;1;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;0;541
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;1;161
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;0;2457
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;1;697
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;0;651
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;1;178
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;0;126
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;1;37
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;0;2149
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;1;588
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFê MADRID CORRALES;0;42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFê MADRID CORRALES;1;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;0;365
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;1;120
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;361;VILLAS DEL NOGAL;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;0;68
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;1;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;0;3252
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;1;784
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;0;287
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;1;205
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;0;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;0;520
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;1;313
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;37;LOS CUADROS;0;576
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;37;LOS CUADROS;1;340
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;44;VILLA HELENA I Y II;0;1848
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;44;VILLA HELENA I Y II;1;596
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS µNGELES;0;846
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS µNGELES;1;181
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MAR÷A C‡RDOBA;0;430
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MAR÷A C‡RDOBA;1;348
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;0;56
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;23
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;0;231
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;1;45
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;51;LIZCANO I Y II;0;517
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;51;LIZCANO I Y II;1;92
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;52;ESPERANZA II;0;1600
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;52;ESPERANZA II;1;417
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;53;ESPERANZA III;0;841
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;53;ESPERANZA III;1;260
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;0;535
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;1;545
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;57;BOSCONIA ;0;6
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;57;BOSCONIA ;1;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;0;5
