Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_actividad_mes;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;2;72
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;3;139
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;4;134
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;6;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;7;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;9;99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;0;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;1;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;2;16
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;3;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;4;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;7;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;9;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;0;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;1;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;2;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;3;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;4;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;9;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;0;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;1;117
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;2;55
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;3;80
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;4;57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;6;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;7;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;9;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;0;194
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;1;948
