Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;ind_discap_ninguna;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS ÁNGELES;2;43
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;1;2856
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;2;298
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFÉ MADRID LA ESTACIÓN;1;763
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFÉ MADRID LA ESTACIÓN;2;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;1;148
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;2;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;1;2547
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;2;190
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFÉ MADRID CORRALES;1;47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFÉ MADRID CORRALES;2;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;1;451
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;2;34
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;361;VILLAS DEL NOGAL;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;1;77
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;1;3780
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;2;256
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;1;463
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;2;29
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;1;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;1;787
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;2;46
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;37;LOS CUADROS;1;852
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;37;LOS CUADROS;2;64
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;44;VILLA HELENA I Y II;1;2242
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;44;VILLA HELENA I Y II;2;202
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;1;926
