Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;C;342
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;D;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;A;124
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;B;305
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;C;270
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;D;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;A;405
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;B;1743
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;C;1496
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;D;136
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;A;41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;B;187
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;C;212
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;D;48
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;A;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;B;253
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;C;485
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;D;127
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;A;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;B;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;C;76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;D;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;A;74
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;B;337
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;C;468
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;D;76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;A;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;B;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;C;81
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;D;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;A;42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;B;161
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;C;227
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;D;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;A;193
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;B;438
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;C;423
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;D;67
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;A;107
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;B;155
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;C;105
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MAR÷A;D;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MAR÷A;B;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS µNGELES;C;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;A;125
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;B;314
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;C;556
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;D;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;A;97
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;B;321
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;C;274
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;D;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;A;648
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;B;2258
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;C;2376
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;D;333
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;B;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;A;320
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;B;676
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;C;350
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;D;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;A;224
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;B;605
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;C;377
